Comparision,difference,pvalue,signif.,LCL,UCL,Depth_text,psd_group,Variable
NT-NO - ST-CC,0.0024195336278372385,0,***,0.0017749103514433273,0.0030641569042311498,20 - 25 cm,50-1000,ln.r_area
NT-NO - ST-NO,0.0032612538312138516,0,***,0.0026166305548199404,0.003905877107607763,20 - 25 cm,50-1000,ln.r_area
ST-CC - ST-NO,8.417202033766131e-4,0.0304,*,0.00019709692698270176,0.0014863434797705243,20 - 25 cm,50-1000,ln.r_area
NT-CC - NT-NO,-0.011415951783490749,0,***,-0.012929741995307154,-0.009902161571674343,20 - 25 cm,50-1000,ln.r_area_porosity
NT-CC - ST-CC,-0.0040629000173525755,0,***,-0.005576690229168981,-0.0025491098055361702,20 - 25 cm,50-1000,ln.r_area_porosity
NT-CC - ST-NO,-0.003030678518063736,2e-4,***,-0.004544468729880142,-0.001516888306247331,20 - 25 cm,50-1000,ln.r_area_porosity
NT-NO - ST-CC,0.007353051766138173,0,***,0.005839261554321767,0.008866841977954579,20 - 25 cm,50-1000,ln.r_area_porosity
NT-NO - ST-NO,0.008385273265427012,0,***,0.006871483053610607,0.009899063477243418,20 - 25 cm,50-1000,ln.r_area_porosity
ST-CC - ST-NO,0.0010322214992888393,0.4741, ,-4.8156871252756596e-4,0.0025460117111052445,20 - 25 cm,50-1000,ln.r_area_porosity
NT-CC - NT-NO,-0.001451594849695692,0,***,-0.0017870036575611558,-0.001116186041830228,20 - 25 cm,50-1000,Sr.diff
NT-CC - ST-CC,-6.394684224956737e-4,4e-4,***,-9.748772303611375e-4,-3.0405961463020987e-4,20 - 25 cm,50-1000,Sr.diff
NT-CC - ST-NO,-3.570867279815773e-4,0.1113, ,-6.924955358470411e-4,-2.1677920116113512e-5,20 - 25 cm,50-1000,Sr.diff
NT-NO - ST-CC,8.121264272000182e-4,0,***,4.7671761933455444e-4,0.0011475352350654821,20 - 25 cm,50-1000,Sr.diff
NT-NO - ST-NO,0.0010945081217141146,0,***,7.590993138486508e-4,0.0014299169295795785,20 - 25 cm,50-1000,Sr.diff
ST-CC - ST-NO,2.8238169451409636e-4,0.2843, ,-5.302711335136744e-5,6.177905023795602e-4,20 - 25 cm,50-1000,Sr.diff
