Layer_Number,Variable,Trt,mean,std,r,LCL,UCL,Min,Max,Q25,Q50,Q75,groups,stder,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
2,th,ST-NO,0.18463751438434983,0.01531435974534915,4,0.16857475939530275,0.2007002693733969,0.1642267473858008,0.1987091609546205,0.1775103817481363,0.187807074598489,0.19493420723470256,b,0.007657179872674575,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-CC,0.039928453494771594,0.007319041917331738,4,0.03470996031515494,0.04514694667438825,0.03329163956571771,0.0497023064992245,0.03495772251963777,0.03835993395707209,0.043330664932205915,a,0.003659520958665869,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,NT-NO,0.03380697453344673,0.008096119457390943,4,0.028588481353830075,0.03902546771306338,0.024515935357982688,0.04162705758743179,0.02835843298143794,0.034542452594186215,0.039990994146195,a,0.004048059728695472,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,ST-CC,0.037309251013158545,0.005945898717161655,4,0.03209075783354189,0.0425277441927752,0.029609246009906443,0.04406864461900234,0.03531295341972281,0.0377795567118627,0.03977585430529843,a,0.0029729493585808277,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th.diff,ST-NO,0.03279881923250112,0.005453856159701083,4,0.02758032605288447,0.038017312412117775,0.02797818582078354,0.03919547706008905,0.02841346875469053,0.03201080702456595,0.03639615750237654,a,0.0027269280798505415,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-CC,2.0494146236842488,0.14385594169594423,4,1.891710601911142,2.2071186454573555,1.8684986806572579,2.211664246225153,1.9828544545825455,2.058747783927292,2.125307953028995,a,0.07192797084797212,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,NT-NO,1.938595626272114,0.2916858295730623,4,1.7808916044990073,2.0962996480452207,1.5152140045100628,2.139455059081608,1.860860225826767,2.0498567207483926,2.12759212119374,ab,0.14584291478653116,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,ST-CC,2.0614986101041888,0.19963277944753494,4,1.903794588331082,2.2192026318772955,1.8568076694054458,2.280631388231641,1.9137645078360175,2.054277691389834,2.2020117936580057,a,0.09981638972376747,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,VolumeW,ST-NO,1.8127698896270865,0.15035628224227868,4,1.6550658678539798,1.9704739114001932,1.6123771148297448,1.9509252221721345,1.74279574875227,1.843888610753233,1.9138627516280495,b,0.07517814112113934,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,wv.diff,NT-CC,0.3920172911558242,0.07185830492192787,4,0.34078215978625226,0.4432524225253961,0.32685709609057767,0.48797691502311347,0.3432146874639113,0.3766175767548028,0.42542018044671565,a,0.03592915246096393,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
